Município;Pop_Menos_15Anos_2014;Pop_com_60Anoso_2014;Habitantes;area;taxa_natalidade;Esgoto_2010;Empregos_formais_2013;PIB
Ouroeste;18,82;14,32;8385;288,84;12,58;96,80;3231;675,61
Taquaral;19,60;15,24;2726;53,89;11,73;99,38;500;39,92
João Ramalho;21,23;11,31;4147;415,25;15,41;98,74;489;102,99
Estrela do Norte;20,45;12,99;2658;263,42;15,44;97,74;402;49,25
Valentim Gentil;18,37;13,49;11013;149,69;13,23;99,26;3541;229,47
Onda Verde;20,23;12,80;3880;242,31;11,79;100,00;3366;150,41
Dumont;19,55;11,34;8126;111,36;11,72;99,30;1833;117,62
Gastão Vidigal;19,25;14,24;4188;180,94;11,19;98,68;465;53,67
Santo Antonio do Aracanguá;18,59;13,01;7620;1308,24;14,96;95,35;3280;272,73
Ariranha;19,16;14,14;8537;133,15;13,66;99,26;4478;556,53
Nova Independência;21,78;11,25;3058;265,78;13,13;89,46;1390;146,59
Santópolis do Aguapeí;20,82;12,75;4273;127,91;14,55;99,23;564;60,65
Elisiário;16,79;15,45;3115;93,98;12,66;98,13;538;71,07
Nova Europa;21,47;11,70;9281;160,35;16,03;99,66;3946;168,58
Catiguá;18,78;13,66;7122;148,39;12,54;96,50;1012;120,66
Nova Luzitânia;19,67;13,33;3435;74,06;14,57;99,20;353;38,99
Ubarana;22,88;10,99;5279;209,63;13,76;97,04;1535;107,69
Alumínio;22,94;10,29;16825;83,66;15,60;91,71;7123;1526,43
Altair;21,12;11,95;3813;313,86;11,59;86,12;688;164,71
Nipoã;19,35;12,58;4264;137,82;15,79;97,73;627;72,06
Bento de Abreu;19,82;13,57;2672;301,40;13,78;100,00;816;87,37
Santa Lucia;21,74;10,79;8245;154,03;14,14;99,96;855;107,89
Embaúba;18,08;16,47;2423;83,13;9,94;94,34;381;38,22
Dobrada;23,00;10,03;7931;149,73;15,08;99,45;629;82,80
Iracemápolis;19,44;11,40;19987;115,12;10,91;94,38;6724;488,85
Novais;22,82;10,55;4578;117,77;12,29;99,59;351;58,31
Jambeiro;20,60;12,86;5336;184,41;14,20;94,95;3705;838,81
Luís Antônio;22,34;8,62;11243;598,77;13,58;99,48;5008;678,51
Holambra;20,86;10,38;11257;65,58;12,51;88,46;7361;636,90
Jaci;18,59;11,47;5642;145,52;12,89;97,19;2856;215,08
Nantes;22,83;11,03;2703;286,16;11,36;99,20;352;114,40
Rio das Pedras;21,19;10,39;29445;226,66;15,46;97,04;9436;797,38
Borá;17,20;12,13;805;118,45;11,15;100,00;1760;49,77
Clementina;21,90;11,25;7049;168,84;16,89;99,37;3585;77,14
Araçariguama;25,23;8,62;17019;145,20;17,03;53,42;8196;1425,28
Santa Ernestina;20,61;10,85;5569;134,42;10,63;99,28;494;60,90
Lindóia;18,87;14,59;6699;48,76;12,78;76,64;1938;117,22
Louveira;21,25;8,36;36989;55,13;17,43;86,71;18944;11173,99
Palmares Paulista;21,23;7,99;10910;82,13;11,59;99,68;802;97,20
Vista Alegre do Alto;18,82;11,91;6865;94,98;12,71;99,74;3528;183,24
Orindiúva;21,24;9,26;5660;248,11;12,08;99,39;3135;156,36
Gavião Peixoto;21,00;11,54;4416;243,77;15,19;99,82;3236;354,01
